,Preducciones
284,77.11040326942717
285,77.1823577138048
286,77.53566169841937
287,77.60968958471067
288,78.31556133181083
289,78.44458801610662
290,78.51093064487053
291,78.4884307951198
292,78.5268570827574
293,78.55027345393353
294,78.30855219664647
295,78.34485996754607
296,78.10989242141949
297,78.21632159384569
298,78.36738235470875
299,78.43530260231974
300,78.95211551174957
301,78.97753771260297
302,79.11760021635929
303,79.19460304104814
304,79.41139040807752
305,79.4775827874272
306,79.92123925716693
307,79.9698599675462
308,80.425716689705
309,80.37240819760802
310,80.50037562353508
311,80.53666836949331
312,80.97460033655874
313,81.08525902998971
314,81.23819790852818
315,81.22262455676409
316,81.68279343710556
317,81.79378267924749
318,81.92239617765478
319,81.90660496424056
320,81.73043752629371
321,81.71916882024169
322,81.65818258308802
323,81.64285714285712
324,81.72799597331557
325,81.7072014544142
326,81.8526428871926
327,81.89094146282808
328,82.0743659474727
329,82.0823667287698
330,82.64919766812915
331,82.74445579662247
332,83.2353281447203
333,83.34525061602275
334,83.47437496243761
335,83.65945219063657
336,84.57119568483675
337,84.59824809183236
338,84.70922982150358
339,84.75694903539865
340,84.83386171043924
341,84.8787186729971
342,84.76783460544495
343,84.76718853296467
344,84.566184866879
345,84.5990819760802
346,84.66864745477477
347,84.67036781056544
348,84.96312128132708
349,85.01144149287823
350,85.22685407776899
351,85.29484945008704
352,85.52762335476888
353,85.52800649077463
354,86.15984283911308
355,86.18203467756484
356,86.61068123084333
357,86.64595979325688
358,87.04567582186435
359,87.09095348278133
360,87.16186369373165
361,87.17264408918813
362,87.27003575936044
363,87.36092162990559
364,87.45550363603577
365,87.61297253440715
366,87.3460920127411
367,87.34787246829734
368,86.99536480557717
369,87.04028938037143
370,87.08478574433565
371,87.1157070737424
372,87.26035218462638
373,87.3042400384639
374,87.36531642526606
375,87.48365286375389
376,87.70980828174764
377,87.71394014063351
378,88.29286615782186
379,88.29475930043874
380,88.67784271891344
381,88.65918174169119
382,88.81789019772813
383,89.01606917483006
384,89.41646883827165
385,89.5429112326463
386,89.80123505018338
387,89.78884698599678
388,89.85969709718138
389,89.87579632189433
390,89.59219304044714
391,89.55967155478092
392,89.23600426708339
393,89.29255814652328
394,89.32932417813566
395,89.33202866758823
396,89.67806058056365
397,89.67370334755695
398,89.87674289320265
399,89.82276579121344
400,90.2087865857323
401,90.46353407536513
402,91.10538493899888
403,91.09209537832814
404,91.53928270929741
405,91.61082396778653
406,91.92157731834855
407,91.99605595288185
408,93.70237844822388
409,93.74936143999028
410,94.04829767413908
411,94.1530966404231
412,94.50756505799635
413,94.60923132399785
414,94.80092703888458
415,94.89052076446906
416,94.7483773063285
417,94.80173087324964
418,94.92111154516495
419,94.94197367630267
420,95.44170322735735
421,95.52675942063838
422,95.78780275256929
423,95.7926257587595
424,96.09677564757477
425,96.026661758519
426,96.8675476290643
427,97.03906484764713
428,97.68692529599137
429,97.65824268285346
430,97.827581284933
431,97.98856601959258
432,98.85596339924277
433,98.9790702566259
434,99.13620860628633
435,99.16680689945298
436,99.31923492998376
437,99.33199110523478
438,99.14243644449782
439,99.14336047839424
440,98.98174469619576
441,99.08919556463738
442,99.25328294969644
443,99.39553909489756
444,99.99712664102418
445,100.13223545104873
446,100.43634949456096
447,100.53605949456087
448,100.7397999999999
449,100.83866999999991
450,101.54532999999999
451,101.59602
452,102.23804999999986
453,102.36911999999995
454,102.7304400000001
455,102.63311000000004
456,103.11859999999979
457,103.1189999999999
458,103.04936999999997
459,103.10162999999987
460,103.38967000000007
461,103.40023000000008
462,103.46717000000008
463,103.48832999999999
464,103.25572000000003
465,103.23734000000007
466,103.22578000000014
467,103.30958999999993
468,103.68219000000008
469,103.71188999999995
470,103.69482999999991
471,103.73252000000006
472,103.87142000000007
473,103.90925999999989
474,104.61386000000007
475,104.66466000000004
476,105.3686600000001
477,105.38325000000006
478,105.67950000000008
479,105.74466999999993
480,106.52802000000008
481,106.46096502854742
482,106.71579000000013
483,106.9331199999999
484,106.96191502854747
485,106.57831502854738
486,105.78656000000008
487,105.89640999999997
488,106.13044999999998
489,106.20951
490,106.56224000000007
491,106.67271000000001
492,107.49587999999987
493,107.53917999999989
494,107.80078999999999
495,107.90404000000004
496,108.08829999999982
497,108.07607999999988
498,108.77070999999985
499,108.85652999999985
500,108.87341999999991
501,108.84711999999996
502,109.02825999999983
503,109.02541999999981
504,96.19629905074845
505,96.19972473738828
506,96.19334512742586
507,96.19598168851726
508,96.24596303247284
509,96.24596303247284
510,94.36939998188274
511,94.35476568895649
512,94.36939998188274
513,94.36445998188277
514,94.35938224343694
515,94.36445998188277
516,74.95983955335501
517,74.95983955335501
518,75.6054022575951
